sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop
2154618,1,8.0,0,1,1,1,0,0,1,1,1,No,0,0.83,0.85,0,No,No,Yes,Yes,No
2152149,20,12.0,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No
1920822,0,8.0,0,3,3,4,1,1,1,1,0,No,0,0.0,0.0,0,Yes,No,No,Yes,No
1136697,179,8.0,0,0,0,0,0,1,5,6,3,No,0,-99.0,-99.0,0,No,No,No,Yes,No
3254616,14,2.0,0,2,10,10,1,9,16,22,2,No,0,1.0,0.8,0,No,No,No,Yes,No
3226145,15,12.0,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No
1208110,66,2.0,5,90,150,210,29,87,138,188,37,No,0,0.97,0.99,0,No,No,No,Yes,No
1436007,24,,0,0,0,0,0,2,13,16,0,No,0,-99.0,-99.0,0,Yes,No,No,Yes,No
1514964,19,8.0,0,0,8,12,2,5,10,23,4,No,0,0.88,0.89,0,No,No,No,Yes,No
2295243,40,4.0,0,0,0,0,360,850,1630,2520,0,No,0,0.73,0.78,0,No,No,No,Yes,No
1653596,6,2.0,0,0,0,0,0,0,4,5,1,No,0,0.62,0.36,0,Yes,No,Yes,Yes,No
1821819,0,8.0,0,51,59,59,0,0,0,0,0,No,0,0.86,0.94,0,No,No,No,Yes,No
1796254,1474,10.0,0,0,0,0,200,480,800,880,386,No,0,0.8,0.77,0,No,No,No,Yes,No
1442061,6,12.0,0,0,0,0,0,0,0,0,0,No,0,0.78,0.78,0,Yes,No,No,Yes,No
3060252,8,12.0,0,0,0,0,0,0,1,2,0,No,0,0.57,0.68,0,No,No,No,Yes,No
1410120,0,9.0,0,5,7,9,0,2,5,7,0,No,0,0.91,0.77,0,Yes,No,No,Yes,No
1241750,3,8.0,0,0,8,8,0,1,2,4,0,No,0,0.96,0.93,0,No,No,No,Yes,No
2063016,11,9.0,0,0,0,0,0,0,0,0,0,No,0,0.91,0.77,0,Yes,No,No,Yes,No
3063566,725,2.0,0,0,0,0,1,2,3,5,2,No,0,0.54,0.71,0,No,No,Yes,Yes,No
1620785,4985,52.0,0,0,0,0,0,0,0,0,0,No,0,0.95,0.86,0,Yes,No,No,No,No
1135641,49,2.0,0,0,0,0,0,0,0,0,0,No,0,0.55,0.65,0,No,No,No,Yes,No
1823695,7,2.0,0,0,0,0,2,4,9,9,0,No,0,0.53,0.54,0,Yes,No,No,Yes,No
2231277,0,2.0,0,6,6,6,0,0,0,0,0,No,0,0.64,0.61,0,Yes,No,No,Yes,No
1707795,64,8.0,24,97,185,273,32,111,210,362,41,No,0,1.0,0.96,0,No,No,No,Yes,No
2850861,40,8.0,0,0,0,0,0,0,0,0,0,No,0,0.82,0.81,0,No,No,No,Yes,No
1337581,162,,0,0,0,0,1,4,15,17,4,No,0,-99.0,-99.0,0,No,No,No,No,No
2826162,16,8.0,5,5,21,29,5,14,28,46,0,No,0,0.96,0.96,0,No,No,No,Yes,No
1892985,6,8.0,0,0,0,0,0,0,0,0,0,No,0,0.81,0.85,0,No,No,No,Yes,No
2940768,0,2.0,0,11,11,11,0,0,0,0,1,No,11,0.0,0.0,0,Yes,No,No,Yes,No
1340715,4,8.0,0,0,0,0,0,1,1,1,0,No,0,0.99,0.99,0,No,No,No,Yes,No
3093491,2446,8.0,0,0,0,0,0,0,20,21,2,No,0,0.99,0.99,0,No,No,Yes,Yes,No
2912064,96,12.0,0,0,0,0,0,0,0,0,0,No,0,0.94,0.87,0,No,No,No,Yes,No
2214657,41,4.0,0,20,41,55,6,27,68,105,0,No,0,0.73,0.78,0,No,No,No,Yes,No
1145525,43,8.0,10,21,39,66,12,24,50,103,17,No,0,0.96,0.89,0,No,No,No,Yes,No
1448479,197,2.0,0,0,0,0,0,3,7,12,1,No,0,0.83,0.9,0,No,No,No,Yes,No
3159614,20,12.0,0,0,0,0,0,2,7,10,0,No,0,0.73,0.79,0,No,No,No,Yes,No
1741413,197,8.0,0,0,0,0,3,8,17,30,79,No,0,-99.0,0.0,0,No,No,No,Yes,No
1366350,4,0.0,0,0,0,0,0,0,0,1,2,No,0,0.0,0.0,0,No,No,No,No,No
2969008,45,8.0,0,0,0,0,0,0,0,0,0,No,0,0.0,0.0,0,No,No,No,Yes,No
1763044,0,15.0,0,0,0,0,0,0,0,0,0,No,0,0.78,0.74,0,No,No,Yes,Yes,No
2120357,-1,8.0,0,50,50,50,2,3,17,29,0,No,0,0.83,0.86,1,No,No,No,Yes,No
1633765,248,8.0,0,0,0,0,0,0,2,6,0,No,0,0.72,0.74,0,No,No,No,Yes,No
2231936,148,2.0,7,139,342,537,27,129,324,500,99,No,0,0.66,0.67,0,No,No,No,Yes,No
1553144,8,9.0,0,0,0,0,0,2,2,3,0,No,0,0.86,0.84,0,Yes,No,No,Yes,No
1406141,1,4.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No
3113187,20,12.0,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No
2999626,0,8.0,0,0,0,0,0,0,0,0,0,No,0,0.98,0.96,0,No,No,No,Yes,No
1973170,0,,0,0,0,0,0,8,56,60,4,No,0,-99.0,-99.0,0,No,No,No,No,No
1971182,0,9.0,0,3,4,6,2,3,6,9,4,No,0,0.99,0.98,0,No,No,No,Yes,No
2885784,15,2.0,0,0,0,0,1,2,2,2,2,No,0,1.0,1.0,0,No,No,No,Yes,No
1552282,0,2.0,0,6,6,6,0,2,4,4,0,No,0,0.8,0.82,0,No,No,No,Yes,No
2218207,0,12.0,0,0,0,0,0,0,0,0,1,No,0,0.77,0.73,0,No,No,No,Yes,No
3136688,0,10.0,0,3,4,5,0,1,3,3,0,No,0,0.77,0.84,0,No,No,No,Yes,No
1965624,1702,8.0,285,0,0,0,161,404,870,1154,86,No,0,0.7,0.64,0,No,No,No,Yes,No
1871360,3,8.0,0,0,0,0,0,0,0,0,1,No,0,0.99,0.98,0,No,No,No,Yes,No
3257270,18,4.0,6,3,9,18,3,7,21,31,0,No,0,0.73,0.78,0,No,No,No,Yes,No
1277999,13,12.0,1,0,0,0,0,0,0,0,1,No,0,0.63,0.63,0,Yes,No,No,Yes,No
1359585,70,12.0,3,583,1023,1463,127,386,789,1221,92,No,32,0.88,0.86,2,No,No,Yes,Yes,No
1818005,22,10.0,0,0,0,0,2,4,5,6,2,No,0,0.84,0.86,0,Yes,No,No,Yes,No
2817820,17,2.0,0,0,0,0,0,0,0,0,0,No,0,1.0,0.99,0,Yes,No,No,Yes,No
2218546,0,12.0,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,No,No,No,Yes,No
1779504,48,8.0,0,0,0,0,0,0,7,12,2,No,0,0.96,0.96,0,No,No,No,Yes,No
2084552,233,,0,0,0,0,7,32,82,104,0,No,0,-99.0,-99.0,0,Yes,No,Yes,Yes,No
2058447,4,,0,0,0,0,10,21,21,21,1,No,0,-99.0,-99.0,0,No,No,No,Yes,No
1544130,17,8.0,0,0,3,10,4,5,14,24,0,No,0,0.82,0.88,0,No,No,No,Yes,No
2007634,2,6.0,0,0,0,1,0,0,1,2,2,No,0,1.0,0.99,0,No,No,No,Yes,No
1160978,117,2.0,0,0,0,0,0,1,13,16,0,No,0,0.66,0.32,0,Yes,No,Yes,Yes,No
1171465,0,12.0,0,783,1289,1887,0,0,0,0,172,No,0,0.82,0.79,0,No,No,No,Yes,No
1367549,920,4.0,145,840,1440,1480,167,533,1145,1741,171,No,0,0.98,0.99,0,Yes,No,No,No,No
2881961,8,2.0,0,0,0,0,0,0,2,2,0,No,0,0.82,0.81,0,No,No,No,Yes,No
1295210,3,12.0,0,0,2,3,1,1,3,5,0,No,0,0.77,0.68,0,No,No,No,Yes,No
1552035,6,12.0,0,2,9,17,5,13,21,38,0,No,0,0.98,0.98,0,No,No,No,Yes,No
1658147,5,2.0,0,5,5,5,0,0,0,0,1,No,0,0.96,0.96,0,Yes,No,No,Yes,No
2136738,12,2.0,0,0,0,0,0,0,0,0,0,No,0,0.9,0.87,0,Yes,No,No,Yes,No
3105291,0,2.0,0,40,40,60,18,30,46,61,0,No,0,0.85,0.64,0,No,No,No,Yes,No
1288893,0,2.0,0,0,0,0,0,0,0,0,0,No,0,0.56,0.56,0,Yes,No,No,Yes,No
1485303,0,8.0,0,14,22,30,0,8,23,37,1,No,0,0.69,0.71,0,No,No,No,Yes,No
2106402,56,2.0,0,0,0,0,1,1,1,1,2,No,0,0.83,0.69,0,Yes,No,No,Yes,No
2164291,8,9.0,0,0,0,0,0,0,1,1,4,No,0,0.54,0.47,0,No,No,No,Yes,No
1522194,54,8.0,0,0,0,0,2,5,11,21,1,No,0,0.41,0.44,0,No,No,No,Yes,No
1174333,15,9.0,0,0,0,0,0,0,0,0,1,No,0,0.34,0.41,0,No,No,No,Yes,No
1356829,453,2.0,104,972,1944,2898,286,888,1767,2733,229,No,0,0.98,0.99,0,No,No,No,Yes,No
2819822,74,2.0,0,0,0,0,8,21,37,70,10,No,0,0.94,0.94,0,No,No,Yes,Yes,No
1523527,3,9.0,0,0,0,0,0,0,0,0,1,No,0,0.43,0.45,0,No,No,No,Yes,No
1718006,6,4.0,0,0,0,0,0,0,0,0,0,No,0,0.68,0.66,0,Yes,No,No,Yes,No
1867598,5,8.0,0,0,0,0,0,0,0,0,0,No,0,1.0,0.99,0,No,No,Yes,Yes,No
2012554,112,8.0,0,220,220,220,0,0,0,0,0,No,0,0.83,0.91,0,No,No,No,Yes,No
2864761,2,12.0,0,0,0,0,0,0,0,1,0,No,0,0.73,0.79,0,No,No,No,Yes,No
2073487,43,8.0,0,0,0,0,0,2,4,22,0,No,0,0.56,0.46,0,No,No,No,Yes,No
2110592,362,6.0,0,0,0,0,0,1,2,5,2,No,0,0.74,0.71,0,No,No,Yes,Yes,No
1825447,0,2.0,0,0,0,0,0,0,0,0,0,No,0,0.96,0.96,0,No,No,No,Yes,No
1993526,3,8.0,5,71,101,131,9,42,74,117,31,No,5,0.58,0.57,0,No,No,No,Yes,No
2282675,467,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,Yes,No,Yes,Yes,No
2205561,34,8.0,0,19,38,57,12,20,49,83,9,No,0,0.93,0.87,0,No,No,No,Yes,No
1380445,1,9.0,0,1,2,3,0,1,2,2,1,No,0,0.68,0.66,0,No,No,No,Yes,No
1630986,452,2.0,157,782,1840,3082,262,953,2163,3050,229,No,0,1.0,1.0,0,No,No,No,Yes,No
1209769,73,8.0,0,0,0,0,3,7,14,24,2,No,0,1.0,0.99,0,No,No,No,Yes,No
2990154,8,4.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No
1941180,1508,8.0,5273,3420,9360,13140,1262,5442,11027,13835,1346,No,0,0.99,0.99,0,No,No,No,Yes,No
3200183,1,10.0,0,0,0,0,0,0,0,0,0,No,0,0.7,0.73,0,No,No,No,Yes,No
1707841,201,2.0,0,200,500,600,75,227,445,664,76,No,0,0.93,0.96,0,No,No,No,Yes,No
1936221,-8,2.0,0,66,66,66,8,10,10,10,4,No,0,0.27,0.39,8,Yes,No,No,Yes,No
1445632,4940,52.0,0,0,0,0,1,6,16,21,0,No,0,0.95,0.86,0,Yes,No,No,No,No
1356988,96,4.0,19,45,90,117,6,36,96,153,34,No,0,0.73,0.78,0,No,No,No,Yes,No
2860923,62,4.0,0,0,0,0,1,1,2,4,1,No,0,0.97,0.97,0,No,No,No,Yes,No
1552128,13,2.0,0,0,0,0,0,0,0,0,0,No,0,0.84,0.77,0,Yes,No,No,Yes,No
1178127,2,,0,0,0,0,0,0,0,0,1,No,0,-99.0,-99.0,0,Yes,No,Yes,Yes,No
3251818,243,8.0,0,0,0,0,0,0,0,0,0,No,0,0.88,0.91,0,No,No,No,Yes,No
1463120,42,8.0,0,200,301,401,35,115,254,427,42,No,0,0.05,0.12,0,No,No,Yes,Yes,No
2310073,5,2.0,0,0,0,0,0,0,0,0,0,No,0,0.54,0.56,0,Yes,No,No,Yes,No
1526573,8577,2.0,0,0,0,0,15,704,834,2012,40,No,0,1.0,0.93,0,No,No,No,Yes,No
2053014,216,8.0,133,205,250,419,59,203,371,566,65,No,0,0.96,0.97,0,No,No,No,Yes,No
1721338,33,2.0,0,0,0,14,5,13,18,19,1,No,0,1.0,0.86,0,Yes,No,No,Yes,No
3066106,8,,0,0,0,0,1,1,1,3,3,No,0,-99.0,-99.0,0,Yes,No,No,Yes,No
1555099,10,2.0,0,0,0,0,0,0,0,0,0,No,0,1.0,0.75,0,No,No,No,Yes,No
3270964,17,0.0,0,0,0,0,3,4,7,10,8,No,0,-99.0,0.0,0,No,No,No,Yes,No
1688388,3,8.0,11,15,30,30,3,9,15,27,6,No,0,1.0,0.97,0,Yes,No,No,No,No
1811181,3,2.0,1,4,8,16,1,6,13,26,1,No,0,0.98,0.96,0,No,No,No,Yes,No
2876123,29,2.0,0,0,3,15,2,4,20,25,0,No,0,0.84,0.82,0,No,No,No,Yes,No
1959560,72,8.0,30,60,120,180,41,112,187,263,25,No,0,0.96,0.98,0,No,No,No,Yes,No
3139259,488,2.0,0,0,0,0,0,200,241,348,0,No,0,0.99,0.99,0,No,No,No,Yes,No
1772631,6,2.0,0,0,0,0,0,0,0,0,0,No,0,0.99,0.96,0,Yes,No,No,Yes,No
1758875,881,2.0,28,0,0,0,71,170,307,464,60,No,0,0.84,0.82,0,No,No,No,Yes,No
1865997,11,8.0,0,0,0,0,0,2,2,3,0,No,0,0.5,0.4,0,No,No,No,Yes,No
3153494,11,4.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.78,0,No,No,No,Yes,No
1643995,71,8.0,0,0,0,0,1,1,1,1,0,No,0,0.78,0.49,0,No,No,No,Yes,No
3241590,235,12.0,87,144,288,432,90,235,459,723,80,No,0,0.99,0.99,0,No,No,No,Yes,No
1326650,0,8.0,0,15,25,35,10,15,15,15,2,No,0,1.0,0.94,0,No,No,No,Yes,No
1449745,6,8.0,0,3,6,9,1,3,7,12,0,No,0,0.99,0.99,0,No,No,No,Yes,No
1383436,89,2.0,40,115,242,326,61,141,260,403,49,No,0,0.86,0.88,0,No,No,No,Yes,No
2842822,930,12.0,202,544,1032,1642,193,639,1542,2418,208,No,0,0.77,0.73,0,No,No,No,Yes,No
1719936,0,2.0,0,11,11,11,0,0,0,0,0,No,0,0.1,0.17,0,Yes,No,No,Yes,No
1721946,1,9.0,0,3,3,4,17,18,19,19,0,No,0,0.86,0.84,0,No,No,No,Yes,No
3088552,130,9.0,0,109,190,298,74,156,472,573,34,No,0,0.7,0.66,0,No,No,No,Yes,No
1414874,4,9.0,0,0,0,0,0,0,0,0,0,No,0,0.68,0.66,0,No,No,No,Yes,No
1906037,8,2.0,0,0,0,0,0,0,0,0,0,No,0,0.92,0.92,0,Yes,No,No,Yes,No
2154320,29,2.0,0,0,0,15,0,1,27,30,0,No,0,0.55,0.58,0,Yes,No,No,Yes,No
1496092,14,,0,0,0,0,0,0,0,0,0,No,0,-99.0,-99.0,0,Yes,No,No,Yes,No
1557558,1146,8.0,0,0,0,0,10,24,46,78,0,No,0,0.42,0.36,0,No,No,No,Yes,No
3046108,15,8.0,0,0,0,0,0,0,2,2,0,No,0,0.79,0.79,0,No,No,No,Yes,No
1758170,9,8.0,0,59,95,131,6,19,34,57,0,No,0,0.98,0.97,0,No,No,No,Yes,No
3200876,13,12.0,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No
1218665,20,12.0,20,0,0,0,0,0,0,0,1,No,0,0.63,0.63,0,Yes,No,No,Yes,No
1961991,0,0.0,0,14,14,14,0,1,5,7,1,No,0,0.0,0.0,0,No,No,Yes,No,No
2914101,25,8.0,2,0,0,0,3,13,36,57,0,No,0,1.0,0.97,0,No,No,No,Yes,No
1661486,8,2.0,0,0,0,0,0,0,0,0,0,No,0,1.0,0.99,0,Yes,No,No,Yes,No
1426312,8,8.0,0,0,0,1,0,2,2,2,0,No,0,0.91,0.93,0,Yes,No,Yes,Yes,No
1649438,12,2.0,0,0,24,24,3,8,13,21,0,No,0,1.0,1.0,0,No,No,No,Yes,No
2130388,7,14.0,0,0,4,4,1,5,6,9,3,No,0,1.0,0.97,0,No,No,No,Yes,No
2149599,12,2.0,0,0,0,0,0,0,0,0,0,No,0,1.0,0.97,0,Yes,No,No,Yes,No
2986482,-54,8.0,0,3000,4200,5400,585,1725,2779,4383,523,No,200,0.1,0.1,65,Yes,No,Yes,Yes,No
2118998,1076,8.0,9,0,0,0,37,161,287,439,88,No,0,1.0,0.98,0,No,No,No,Yes,No
1823711,0,2.0,0,10,10,10,0,1,2,2,1,No,0,0.16,0.5,0,Yes,No,No,Yes,No
3047319,344,12.0,0,0,0,0,1,16,49,63,16,No,0,0.68,0.57,0,No,No,No,Yes,No
1926878,71,0.0,0,0,0,0,0,0,14,34,3,No,0,0.0,0.0,0,No,No,No,Yes,No
1278275,-4,8.0,0,37,52,67,9,22,39,48,4,No,0,0.64,0.77,4,No,No,No,Yes,No
1936992,58,9.0,0,0,0,0,0,1,1,4,1,No,0,0.96,0.96,0,No,No,Yes,Yes,No
3096425,236,8.0,0,0,0,0,8,61,104,163,6,No,0,0.9,0.92,0,No,No,No,Yes,No
2219536,13,8.0,0,0,0,0,0,0,0,1,0,No,0,0.9,0.93,0,No,No,No,Yes,No
1292450,8,12.0,0,6,6,12,4,5,14,17,1,No,0,0.9,0.95,0,No,No,No,Yes,No
1688584,4,12.0,0,0,0,0,0,0,0,1,0,No,0,0.66,0.69,0,No,No,No,Yes,No
1391527,-2,12.0,6,471,741,1033,64,252,529,860,87,No,0,0.78,0.78,6,No,No,No,Yes,No
2151358,16,8.0,0,0,0,0,0,0,0,0,0,No,0,0.97,0.93,0,No,No,No,Yes,No
1155002,121,,0,0,0,0,0,1,3,3,0,No,0,-99.0,-99.0,0,Yes,No,No,Yes,No
3033374,9,2.0,0,0,0,0,0,0,1,1,1,No,0,0.54,0.61,0,Yes,No,No,Yes,No
2110135,1,8.0,0,0,0,0,0,0,0,0,0,No,0,0.82,0.89,0,No,No,No,Yes,No
2963029,65,8.0,9,100,100,100,16,52,84,111,28,No,0,0.98,0.99,0,No,No,No,Yes,No
1899779,2,12.0,0,0,0,0,0,0,0,1,0,No,0,0.74,0.74,0,No,No,No,Yes,No
1396949,4985,52.0,0,0,0,0,0,0,0,0,0,No,0,0.95,0.86,0,Yes,No,No,No,No
2300984,58,2.0,0,100,160,220,18,72,137,220,30,No,0,0.9,0.91,0,No,No,No,Yes,No
1671701,86,8.0,0,0,0,0,0,0,1,2,0,No,0,0.95,0.94,0,Yes,No,No,Yes,No
1422630,0,,0,0,0,0,2,8,12,18,3,No,0,-99.0,-99.0,0,No,No,No,No,No
2066953,50,9.0,0,10,30,40,0,10,43,65,0,No,0,0.86,0.84,0,No,No,No,Yes,No
3234228,12,8.0,3,35,70,112,10,29,71,98,0,No,0,1.0,1.0,0,No,No,No,Yes,No
3254991,7,12.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,Yes,No,No,Yes,No
3224341,499,52.0,0,0,0,0,7,19,26,43,4,No,0,1.0,0.97,0,Yes,No,No,No,No
1640966,103,52.0,0,0,0,0,0,0,1,1,2,No,0,0.96,0.92,0,Yes,No,No,Yes,No
1284742,9,8.0,0,0,0,0,0,2,5,13,4,No,0,0.93,0.89,0,No,No,No,Yes,No
1535861,10,8.0,0,0,0,0,0,0,0,0,0,No,0,1.0,0.92,0,No,No,No,Yes,No
1118120,0,12.0,0,1040,1280,1640,111,443,1035,1717,150,No,0,0.77,0.78,20,No,No,No,Yes,No
1867359,-8,8.0,0,9,9,9,20,20,20,20,1,No,0,0.42,0.36,8,No,No,No,Yes,No
3235481,12,2.0,0,0,0,0,0,0,0,0,0,No,0,0.83,0.83,0,No,No,No,Yes,No
3015609,6,8.0,0,0,0,0,0,1,1,5,1,No,0,0.84,0.87,0,Yes,No,No,Yes,No
2925294,0,12.0,0,6,8,11,0,1,6,9,0,No,0,0.98,0.98,0,No,No,No,Yes,No
1543852,4,8.0,1,3,6,10,2,3,8,13,0,No,0,0.99,0.95,0,No,No,No,Yes,No
2956502,409,8.0,15,347,623,899,128,370,804,1250,106,No,0,0.93,0.97,0,No,No,No,Yes,No
2814778,0,8.0,0,10,20,20,3,9,11,17,1,No,0,1.0,0.88,0,No,No,Yes,Yes,No
1875781,4,2.0,0,0,0,0,0,0,0,1,0,No,0,0.85,0.89,0,No,No,Yes,Yes,No
1229432,532,2.0,0,0,0,0,0,0,0,0,1,No,0,0.0,0.0,0,No,No,No,Yes,No
1508111,76,9.0,33,155,252,364,64,151,256,378,25,No,0,0.9,0.82,3,No,No,No,Yes,No
2035038,12,12.0,0,0,0,0,0,0,0,0,1,No,0,0.58,0.58,0,Yes,No,No,Yes,No
1782007,0,9.0,0,2,3,4,1,2,2,3,1,No,0,0.68,0.66,0,No,No,No,Yes,No
1559658,11,8.0,0,24,56,92,11,28,67,97,0,No,0,0.96,0.96,0,No,No,No,Yes,No
3099876,33,8.0,0,0,24,48,1,6,22,44,2,No,0,1.0,0.99,0,No,No,No,Yes,No
2935735,5,12.0,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No
3132919,92,5.0,0,0,0,0,3,16,26,37,0,No,0,0.86,0.75,0,No,No,No,Yes,No
